,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,96,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
1,Ariana Grande,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,98,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,4,0.435
2,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,93,0.194,0.729,183907,0.625,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
3,Kodak Black,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,95,0.071,0.826,225199,0.615,0.0,8,0.0965,-7.979,0,0.219,98.056,4,0.543
4,Juice WRLD,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,94,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
5,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,95,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
6,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,98,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
7,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,95,0.551,0.753,158053,0.498,0.0,2,0.0706,-5.61,1,0.0504,89.95,4,0.927
8,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,94,0.258,0.74,166606,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
9,Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,98,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158
10,Lil Baby,Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,90,0.0945,0.9,145603,0.653,0.0,1,0.528,-6.962,0,0.289,112.503,4,0.399
11,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,93,0.556,0.921,135090,0.537,0.00404,9,0.102,-5.723,0,0.0804,128.009,4,0.711
12,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,100,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
13,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct,91,0.0164,0.912,238614,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422
14,Lil Peep,Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,94,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273
15,Gucci Mane,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,91,0.00381,0.8,204665,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,4,0.367
16,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,92,0.088,0.931,179405,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,4,0.376
17,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,93,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,4,0.374
18,Kanye West,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,95,0.0114,0.901,127947,0.522,0.0,2,0.259,-8.304,1,0.33,104.053,4,0.329
19,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,89,0.0716,0.757,194732,0.69,0.0,1,0.192,-5.327,0,0.282,132.064,4,0.914
20,Tyga,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,92,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,4,0.342
21,Billie Eilish,when the party's over,14JzyD6FlBD5z0wV5P07YI,93,0.979,0.498,199931,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205
22,Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,88,0.035,0.964,142273,0.346,0.0,5,0.108,-9.309,0,0.53,119.958,4,0.562
23,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,88,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742
24,benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,95,0.555,0.56,173800,0.68,0.0,6,0.116,-7.648,0,0.321,89.391,4,0.319
25,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,94,0.0589,0.835,217925,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
26,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,87,0.0617,0.772,94663,0.493,0.0328,5,0.154,-3.41,0,0.0729,143.97,4,0.385
27,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,88,0.371,0.855,324189,0.694,0.0,2,0.109,-4.393,1,0.169,122.078,4,0.49
28,Future,Fine China,5274I4mUMnYczyeXkGDWZN,88,0.0484,0.656,141587,0.542,0.0,7,0.126,-7.358,1,0.323,166.111,4,0.551
29,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,87,0.0367,0.85,343099,0.785,0.0,8,0.155,-4.963,0,0.345,145.063,4,0.718
30,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,91,0.0627,0.876,244679,0.786,0.0,10,0.127,-4.884,0,0.306,153.068,4,0.575
31,Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,92,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,4,0.65
32,Juice WRLD,All Girls Are The Same,0XySogm94T51XF5F2jumXm,87,0.0769,0.671,165820,0.529,0.000335,0,0.0856,-7.226,1,0.307,161.989,4,0.203
33,French Montana,No Stylist,04MLEeAMuV9IlHEsD8vF6A,90,0.0215,0.765,192172,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,4,0.498
34,XXXTENTACION,changes,7AFASza1mXqntmGtbxXprO,90,0.883,0.669,121887,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
35,Juice WRLD,Lean Wit Me,29tc0GbW0pTSBZSCZF3NWk,87,0.0414,0.665,175755,0.651,0.0,1,0.0896,-5.515,1,0.156,163.935,4,0.237
36,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,86,0.00552,0.745,237240,0.346,0.0,1,0.0881,-7.709,1,0.331,203.911,4,0.112
37,Post Malone,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,89,0.58,0.739,221440,0.559,0.0,8,0.112,-8.011,1,0.117,140.124,4,0.439
38,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,87,0.073,0.754,121347,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,4,0.423
39,Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,91,0.117,0.587,218147,0.535,6.56e-05,5,0.131,-6.09,0,0.0898,159.847,4,0.14
40,Cardi B,Money,2GGMabyHXnJmjY6CXhhB2e,87,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,0.219
41,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,87,0.00947,0.487,270715,0.789,4.05e-06,8,0.189,-3.69,1,0.044,150.007,4,0.0564
42,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,90,0.0332,0.754,198973,0.449,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
43,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,91,0.0233,0.602,197547,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268
44,LAY,NAMANANA,5SCE6bkrXysjBSShvhOkAa,83,0.00688,0.796,208887,0.86,0.0,10,0.346,-4.858,0,0.0982,110.016,4,0.816
45,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,85,0.0595,0.743,194184,0.87,0.0,1,0.299,-2.188,1,0.212,99.075,4,0.884
46,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,89,0.934,0.351,200186,0.296,0.0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
47,Lil Mosey,Noticed,6JQvHMSaR8flFsN53ypOfP,86,0.462,0.699,165000,0.558,0.0,11,0.116,-7.622,1,0.0603,79.992,4,0.493
48,Bazzi,Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,91,0.346,0.638,180000,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249
49,Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,85,0.103,0.896,145543,0.671,0.0,1,0.552,-6.977,0,0.289,112.502,4,0.358
50,BlocBoy JB,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,86,0.00104,0.922,181263,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595
51,Ariana Grande,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,90,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
52,Metro Boomin,10 Freaky Girls (with 21 Savage),43lYaovU2FoeuBMNusVVVW,85,0.588,0.81,208293,0.353,0.0,6,0.102,-9.931,0,0.31,88.031,4,0.0727
53,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,87,0.0891,0.586,210747,0.909,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,0.757
